Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Age,Gender,Household Income,Region,Device Type
10716959194,233176325,05/08/2019 05:53:01 PM,05/08/2019 05:54:26 PM,,,,,dd629c62e57fb31bd1fa0215e7,2,5,5,5,4,,,,,5,6,6,2,11,2,25,4,3,2,1,11,5,1
10716944654,233176325,05/08/2019 05:46:22 PM,05/08/2019 05:47:37 PM,,,,,f49b47e17d3bbad1e34227d613,1,1,6,8,1,,,3,,,8,7,2,6,3,32,5,5,3,2,3,5,1
10716944303,233176325,05/08/2019 05:46:19 PM,05/08/2019 05:47:27 PM,,,,,d1d402bfc96cf2535c894ac320,2,10,5,10,10,,,,,5,10,10,1,10,3,41,6,5,3,2,9,1,1
10716929852,233176325,05/08/2019 05:39:11 PM,05/08/2019 05:40:44 PM,,,,,597ab008375d20dd64e652cb50,1,4,4,6,7,,,,,5,8,7,3,6,4,63,6,6,2,2,3,3,1
10716926528,233176325,05/08/2019 05:37:22 PM,05/08/2019 05:39:11 PM,,,,,d58402379634a75eec56e3c986,2,10,5,5,5,1,,,,,10,10,3,2,2,24,5,5,2,2,2,9,2
10716919791,233176325,05/08/2019 05:29:36 PM,05/08/2019 05:36:04 PM,,,,,5370b0bcc6d02f1c73fad55b28,3,5,5,10,7,,,,,5,10,5,1,3,2,22,3,5,2,2,3,6,1
10716901671,233176325,05/08/2019 05:25:49 PM,05/08/2019 05:27:53 PM,,,,,6f19b42aa32c3cf65e9f01745e,2,3,3,3,7,1,,,,,3,8,1,5,2,27,5,5,2,2,3,4,2
10716889480,233176325,05/08/2019 05:08:01 PM,05/08/2019 05:22:33 PM,,,,,532b2e6a3dd09c290d8f47d893,2,8,8,8,5,,2,,,,4,7,2,4,2,26,4,5,2,1,3,3,2
10716833553,233176325,05/08/2019 04:56:52 PM,05/08/2019 04:58:52 PM,,,,,b9fe69ecddd987446ac23242d0,1,1,10,10,5,,,,,5,10,8,1,3,3,30,4,5,3,2,2,9,2
10716817744,233176325,05/08/2019 04:49:50 PM,05/08/2019 04:52:22 PM,,,,,f52240e5e07589e0e881594b16,2,6,6,5,6,,,,,5,2,8,2,2,2,26,6,5,2,1,2,3,4
10716814555,233176325,05/08/2019 04:48:01 PM,05/08/2019 04:51:07 PM,,,,,a449814b25c7e5ba2ab619dc2d,3,5,3,5,6,,,,,,5,9,2,5,2,18,3,5,2,1,5,2,1
10716810223,233176325,05/08/2019 04:48:43 PM,05/08/2019 04:49:32 PM,,,,,3135488e815ddb6d5583a09750,1,5,5,7,4,1,,,,,5,5,2,3,2,51,7,2,2,1,5,4,1
10716808747,233176325,05/08/2019 04:47:08 PM,05/08/2019 04:48:52 PM,,,,,e7087f96e63356025127cf9121,2,1,4,3,6,,2,,,,10,1,1,6,3,44,3,4,3,2,6,2,2
10716804233,233176325,05/08/2019 04:46:24 PM,05/08/2019 04:47:04 PM,,,,,85ace12e319500fd32b408b0d6,1,4,6,8,7,,,3,,,7,6,1,3,3,31,4,4,3,2,2,9,2
10716770614,233176325,05/08/2019 04:30:02 PM,05/08/2019 04:33:53 PM,,,,,6032e571ce67deeac05822ce14,3,1,1,6,1,1,2,,,,6,4,2,4,4,56,4,5,4,1,4,4,2
10716767737,233176325,05/08/2019 04:31:11 PM,05/08/2019 04:32:52 PM,,,,,6e0d564a2dabfd4620685a330c,2,7,10,7,4,,2,,,,2,4,1,6,2,23,3,5,3,2,1,2,1
10716746183,233176325,05/08/2019 04:21:26 PM,05/08/2019 04:24:59 PM,,,,,03fc3306f25db74117b9e74ccf,2,1,4,3,4,,,,,5,12,7,1,3,3,32,6,1,3,2,4,9,1
10716731880,233176325,05/08/2019 04:19:10 PM,05/08/2019 04:19:47 PM,,,,,f9418ecce215092d51badeaaf5,2,5,6,8,8,,,3,,,9,8,2,8,4,54,3,5,3,2,1,2,1
10716709749,233176325,05/08/2019 04:09:33 PM,05/08/2019 04:12:04 PM,,,,,cf05f0170dec9b946368bb8564,3,8,4,6,6,,,,,5,8,8,2,1,2,24,4,5,2,1,1,8,4
10716702968,233176325,05/08/2019 04:08:42 PM,05/08/2019 04:09:44 PM,,,,,9ed710b0ec13bc883dc74d2500,2,3,3,4,5,1,,3,,,2,7,1,6,3,41,5,2,3,2,6,9,1
10716701192,233176325,05/08/2019 04:06:51 PM,05/08/2019 04:09:08 PM,,,,,9b41e6d883e5f062c0c552e2a5,2,10,10,10,1,,,,,,10,10,2,2,3,38,4,5,3,1,2,8,1
10716690659,233176325,05/08/2019 04:04:09 PM,05/08/2019 04:05:31 PM,,,,,790caf69ed43c2aae1a647c4ab,1,6,5,8,4,,,,4,,2,6,1,5,2,29,5,3,2,2,4,7,1
10716668963,233176325,05/08/2019 03:56:39 PM,05/08/2019 03:58:23 PM,,,,,4f8c4af966413f66ba9759a8d1,1,7,8,5,7,,,3,,,6,8,2,6,2,29,7,5,2,1,2,9,2
10716653117,233176325,05/08/2019 03:50:43 PM,05/08/2019 03:52:39 PM,,,,,4e94bfa375fe20a7897e44d8aa,2,10,10,5,4,,2,3,,,5,5,2,2,2,25,5,5,2,1,2,7,2
10716559210,233176325,05/08/2019 03:16:12 PM,05/08/2019 03:17:29 PM,,,,,45f7a9a20697cd13da277b1e4f,2,10,10,10,10,,,,,,11,4,1,4,2,28,4,4,2,2,4,8,1
10716545549,233176325,05/08/2019 03:11:31 PM,05/08/2019 03:12:32 PM,,,,,cd23a2b288178a6de44f08eaa2,2,5,5,6,6,,2,,,,9,7,2,3,2,28,6,2,2,2,2,5,1
10716534742,233176325,05/08/2019 03:01:16 PM,05/08/2019 03:08:37 PM,,,,,5d95482ea5c1fcf7af3352b5c8,2,7,8,9,6,,,,,5,10,6,1,4,2,18,2,5,2,2,3,5,1
10716521025,233176325,05/08/2019 03:01:51 PM,05/08/2019 03:03:49 PM,,,,,6ecdab88b9258fb51a2df16871,2,10,8,6,5,,,,,,5,9,1,3,5,60,4,5,4,2,3,1,2
10716519861,233176325,05/08/2019 03:01:54 PM,05/08/2019 03:03:26 PM,,,,,d0a2828555016c1d36eaa119a3,2,5,9,10,4,,,3,,,5,4,1,2,2,19,4,4,2,2,1,9,1
10716485495,233176325,05/08/2019 02:49:51 PM,05/08/2019 02:51:24 PM,,,,,97c62cea6127c7864ea8005299,3,7,5,8,2,,,,,5,2,8,1,5,3,33,6,5,3,1,5,4,1
10716478032,233176325,05/08/2019 02:46:21 PM,05/08/2019 02:48:46 PM,,,,,b0319320726e9c62441f9814fc,2,7,8,10,8,1,,,,,4,4,2,3,3,35,6,5,3,1,3,4,2
10716464523,233176325,05/08/2019 02:42:07 PM,05/08/2019 02:44:08 PM,,,,,759374129ce8750367bd74d826,2,10,1,7,5,,2,,,5,10,7,1,3,2,28,5,5,2,2,3,7,1
10716431486,233176325,05/08/2019 02:31:07 PM,05/08/2019 02:32:38 PM,,,,,76d307531c12563fca2731bc2e,1,6,7,8,10,1,2,3,,5,6,5,2,7,2,28,5,5,2,1,6,2,2
10716428094,233176325,05/08/2019 02:29:30 PM,05/08/2019 02:31:29 PM,,,,,bc6702b8565ae1801ec0ac28c7,2,10,10,10,10,,,,,5,11,10,1,2,4,57,5,5,4,2,2,6,2
10716356386,233176325,05/08/2019 02:05:13 PM,05/08/2019 02:06:37 PM,,,,,ead72797b94b55969bce062aa6,2,6,10,10,6,,,,,5,10,9,1,2,4,48,3,5,4,2,2,4,2
10716353127,233176325,05/08/2019 02:02:38 PM,05/08/2019 02:05:31 PM,,,,,606d9b231168008f9001c42345,1,9,7,6,3,1,,,4,5,10,8,1,9,3,30,5,5,3,2,6,2,1
10716352983,233176325,05/08/2019 02:02:31 PM,05/08/2019 02:05:28 PM,,,,,3596ca013734ab9a81107d4147,3,6,1,8,8,1,2,,,5,6,4,2,5,1,17,3,5,2,1,11,4,1
10716303230,233176325,05/08/2019 01:46:05 PM,05/08/2019 01:48:35 PM,,,,,8b0f465fc94a20317d3743b1f0,2,10,7,8,5,,,,,5,10,7,1,11,2,19,4,6,2,2,11,2,1
10716302917,233176325,05/08/2019 01:47:42 PM,05/08/2019 01:48:27 PM,,,,,1c13b389e40be2bdfb6fd0a756,3,5,5,5,5,,,3,,,12,5,1,1,3,30,3,5,3,2,1,3,1
10716259723,233176325,05/08/2019 01:32:07 PM,05/08/2019 01:34:05 PM,,,,,b0bbde2c7d76f683de6f3c9a3b,2,6,10,4,4,,,,,5,6,6,1,3,2,23,4,2,2,2,1,1,1
10716259338,233176325,05/08/2019 01:32:16 PM,05/08/2019 01:33:57 PM,,,,,ad0c9995dc8c47cbcf8d28d053,2,2,9,10,6,,,3,,,2,6,1,1,3,26,4,6,2,2,11,5,2
10716254785,233176325,05/08/2019 01:31:15 PM,05/08/2019 01:32:23 PM,,,,,bddc8b0744f040d3f89e87710d,1,1,6,7,4,,,3,,5,4,7,1,4,2,29,5,5,2,2,4,2,2
10716224877,233176325,05/08/2019 01:16:08 PM,05/08/2019 01:21:51 PM,,,,,49d83f4771f9fc6c2f800482d5,3,10,6,8,10,,,,,5,4,10,1,3,5,63,1,5,5,2,2,7,1
10716179740,233176325,05/08/2019 01:04:11 PM,05/08/2019 01:06:22 PM,,,,,ea57e84da5b52754ef2809e599,1,9,10,6,3,,,,,5,1,8,1,4,3,35,7,5,3,2,4,3,2
10716169169,233176325,05/08/2019 01:00:48 PM,05/08/2019 01:02:42 PM,,,,,08e511919e9036887a89fccded,2,10,10,10,8,1,,,,5,10,10,1,5,2,25,5,5,2,2,5,6,2
10716138367,233176325,05/08/2019 12:48:27 PM,05/08/2019 12:52:16 PM,,,,,90dd6c91402a9d83c64b82de97,2,6,4,7,5,,,,,5,4,3,2,11,1,19,3,3,2,1,11,5,1
10716137256,233176325,05/08/2019 12:48:04 PM,05/08/2019 12:51:53 PM,,,,,442175331989d8f6147864e665,2,8,3,2,2,,,,,5,6,7,2,6,3,43,4,5,3,1,6,9,2
10716042744,233176325,05/08/2019 12:16:13 PM,05/08/2019 12:19:26 PM,,,,,32db65a9f3a886399f55b8afd3,2,4,6,10,1,,,,,5,9,3,2,4,4,58,4,5,4,1,4,7,1
10716041210,233176325,05/08/2019 12:16:55 PM,05/08/2019 12:18:55 PM,,,,,ddbf85542fcffcbfbd736f6651,1,8,6,6,5,,2,3,,5,5,7,2,5,2,29,7,5,2,1,5,2,2
10716033716,233176282,05/08/2019 12:10:38 PM,05/08/2019 12:16:22 PM,98.151.192.68,,,,,1,7,5,8,10,1,,,,,6,8,2,7,3,44,5,5,,,,,
10716028704,233176325,05/08/2019 12:11:25 PM,05/08/2019 12:14:41 PM,,,,,2228f206432a2231eaf1ab8b69,2,6,8,7,7,,2,,,5,6,6,2,3,2,28,4,5,2,1,2,9,2
10716028305,233176325,05/08/2019 12:13:31 PM,05/08/2019 12:14:33 PM,,,,,9e61b5659302b8f8a4a171550f,2,8,4,7,5,,,,,5,7,6,3,6,3,29,3,5,4,1,11,5,1
10715950248,233176325,05/08/2019 11:47:39 AM,05/08/2019 11:49:33 AM,,,,,e4f8dcc11fc8b93a48eecaab87,2,5,7,8,10,,,,4,,4,4,2,7,2,25,6,5,3,1,7,2,2
10715899825,233176325,05/08/2019 11:32:16 AM,05/08/2019 11:34:19 AM,,,,,49c382b18b2477b0e8f66a6017,2,10,5,5,3,,,,,5,5,6,1,7,3,40,5,5,3,2,7,9,1
10715892570,233176325,05/08/2019 11:27:58 AM,05/08/2019 11:32:06 AM,,,,,354bebd1db5dff285782f5dd04,1,1,3,4,4,,2,,,,2,4,2,3,4,65,1,4,4,1,4,5,1
10715860142,233176325,05/08/2019 11:19:04 AM,05/08/2019 11:22:26 AM,,,,,b205a6789b50a80d35b4085a3c,1,1,5,6,5,,,,,5,10,6,1,3,4,51,1,5,4,2,2,8,1
10715749143,233176325,05/08/2019 10:46:26 AM,05/08/2019 10:48:36 AM,,,,,4751dd2f5094ee907e88faf8e5,1,10,8,10,6,1,2,,,5,6,7,2,8,4,54,5,5,4,1,5,3,1
10715716273,233176325,05/08/2019 10:36:05 AM,05/08/2019 10:38:25 AM,,,,,511fcbacf205d838e31b1ef86d,1,1,3,7,4,,2,,,5,10,3,2,8,5,62,7,5,5,1,9,9,1
10715560693,233176325,05/08/2019 09:47:42 AM,05/08/2019 09:48:46 AM,,,,,77bbcb300b9a73adaf29463ee8,1,5,5,6,6,,,3,,,8,7,3,6,3,41,2,4,5,1,1,9,1
10715419282,233176325,05/08/2019 08:57:33 AM,05/08/2019 08:58:49 AM,,,,,b8040256e7df3b966f322e6a84,1,10,8,6,6,1,,,,,4,7,1,6,2,29,3,3,2,2,5,5,1
10715236453,233176325,05/08/2019 07:38:31 AM,05/08/2019 07:41:00 AM,,,,,bd3292fbfc752d2fa477b2ad23,2,2,8,4,5,,,,,,5,7,1,3,5,43,3,5,5,2,4,5,4
10715233455,233176325,05/08/2019 07:37:09 AM,05/08/2019 07:39:26 AM,,,,,6185a2fd5418f39c3575d51498,2,8,7,7,7,,,,,5,2,5,2,6,5,63,7,5,5,1,5,2,4
10715216302,233176325,05/08/2019 07:28:14 AM,05/08/2019 07:30:31 AM,,,,,1ea5e0188c556f95c48817d489,2,9,7,10,9,,,,,,5,10,2,10,5,63,8,4,5,1,10,5,5
10715189846,233176325,05/08/2019 07:15:08 AM,05/08/2019 07:16:06 AM,,,,,9cc584ce5acff09092cfc88b5d,1,5,4,5,5,,,,,5,11,5,1,3,4,50,3,5,4,2,3,2,2
10715189664,233176325,05/08/2019 07:06:26 AM,05/08/2019 07:16:00 AM,,,,,6560d83a22ecd47436bb97a690,1,6,8,8,5,,,,,5,6,5,1,4,4,46,4,5,4,2,2,2,2
10715186124,233176325,05/08/2019 07:12:21 AM,05/08/2019 07:14:04 AM,,,,,8edba1708307557bad87edb630,2,7,5,4,5,,,,4,,2,6,1,2,4,58,4,4,4,2,2,5,2
10715186115,233176325,05/08/2019 07:11:42 AM,05/08/2019 07:14:03 AM,,,,,29298f34732eb84d78eb0529e9,1,3,5,8,2,1,2,3,,5,10,5,2,5,2,26,2,5,2,1,4,5,1
10715185275,233176325,05/08/2019 07:11:01 AM,05/08/2019 07:13:36 AM,,,,,3a2eec87c5ed655e5210cc2ac2,2,8,7,7,7,,,,,5,10,5,2,5,4,50,3,4,4,1,5,8,1
10715184522,233176325,05/08/2019 07:11:03 AM,05/08/2019 07:13:11 AM,,,,,ee385fefc7db388774ba738013,2,3,3,4,4,,,,,,3,2,2,5,5,47,5,5,5,1,5,1,4
10715183805,233176325,05/08/2019 07:11:10 AM,05/08/2019 07:12:49 AM,,,,,c065d95c29057107aa6c2f5e55,2,5,7,8,6,,,,,5,5,4,1,4,3,36,5,5,3,2,4,3,2
10715177715,233176325,05/08/2019 07:03:19 AM,05/08/2019 07:09:24 AM,,,,,7ba1c266f0c44b2a21fae69ab9,2,5,8,6,7,,,,,5,11,8,1,11,4,54,4,4,4,2,11,7,1
10715161723,233176325,05/08/2019 06:58:17 AM,05/08/2019 07:00:29 AM,,,,,2543ddfbf481cc647dd2d30ade,1,2,2,8,9,,,3,,,5,6,2,10,5,61,7,5,5,1,9,5,4
10715154771,233176325,05/08/2019 06:54:40 AM,05/08/2019 06:56:33 AM,,,,,b5034542e3a0ce0998cdfce8bb,2,3,9,6,8,1,,,,,2,7,1,10,5,72,7,5,5,2,6,7,1
10715145967,233176325,05/08/2019 06:49:31 AM,05/08/2019 06:51:26 AM,,,,,ba9193853f94e51bc1ca6b7c0a,1,7,5,5,5,,,,,5,6,5,2,7,4,56,5,5,4,1,7,6,4
10715125016,233176325,05/08/2019 06:37:26 AM,05/08/2019 06:39:18 AM,,,,,9e1c8c873db0ebc30233f95f8d,3,4,7,6,5,,,,,5,10,4,2,2,5,68,4,5,5,1,2,5,2
10715124365,233176325,05/08/2019 06:37:02 AM,05/08/2019 06:38:55 AM,,,,,de87f164b3b2940ed631137f03,1,5,7,5,6,1,,,,,2,1,1,6,4,47,5,5,4,2,6,5,1
10715124161,233176325,05/08/2019 06:37:05 AM,05/08/2019 06:38:48 AM,,,,,930eee6e827bfe6891d06fd147,3,6,5,7,7,,,3,,,10,5,1,2,4,45,3,5,4,2,2,7,2
10715117430,233176325,05/08/2019 06:31:35 AM,05/08/2019 06:34:52 AM,,,,,f776e193a67b216bd9a3b71f84,2,5,4,1,10,,,,,5,8,6,2,2,4,55,1,5,4,1,2,2,2
10715087538,233176325,05/08/2019 06:14:48 AM,05/08/2019 06:17:02 AM,,,,,c255552621420711a460b5b145,1,6,6,7,10,,,3,,,6,8,2,7,3,47,7,3,4,2,5,3,2
10715086839,233176325,05/08/2019 06:14:18 AM,05/08/2019 06:16:38 AM,,,,,db75de17d430ef2f6cedf1d4a4,2,8,6,7,4,1,,,,,5,9,1,7,4,59,5,5,5,2,7,9,4
10715083990,233176325,05/08/2019 06:10:42 AM,05/08/2019 06:14:50 AM,,,,,cf111be9c762ca5820732b01d1,2,2,8,7,3,,,,,5,10,7,1,4,4,58,3,3,4,2,4,2,1
10715077361,233176325,05/08/2019 06:07:16 AM,05/08/2019 06:10:46 AM,,,,,8822b59e916c2d1054b1e59cda,1,6,7,8,8,,2,,,,10,10,2,2,5,54,1,5,5,1,2,6,2
10715075920,233176325,05/08/2019 06:07:19 AM,05/08/2019 06:09:53 AM,,,,,ad3e7f7069b6aade9e05bbe908,2,7,7,7,6,,,3,,,6,8,2,3,4,53,5,5,4,1,2,5,2
10715069269,233176325,05/08/2019 06:03:34 AM,05/08/2019 06:05:45 AM,,,,,d413fb1d61dd1375f5e5662885,2,6,7,10,6,,,,,5,2,1,2,11,5,67,7,6,5,1,11,2,2
10715068397,233176325,05/08/2019 06:00:55 AM,05/08/2019 06:05:12 AM,,,,,2f28d6d4ef787f8f47c97bf8e1,1,4,2,4,4,,,,,5,10,5,1,5,4,46,5,5,4,2,4,2,1
10715066538,233176282,05/08/2019 06:01:10 AM,05/08/2019 06:04:06 AM,78.179.154.51,,,,,1,8,9,8,6,,2,3,,,11,10,2,4,3,35,6,5,,,,,
10715063544,233176325,05/08/2019 06:00:00 AM,05/08/2019 06:02:12 AM,,,,,1851ac0d0ffddf54147ddccca9,1,7,7,7,5,,,,,5,10,7,1,6,3,42,4,5,3,2,5,2,1
10715060918,233176325,05/08/2019 05:59:56 AM,05/08/2019 06:00:34 AM,,,,,ea8170184ba6a0de488a2afd3b,1,4,6,7,7,,2,,,,4,6,1,6,2,21,6,2,3,2,4,7,1
10715053124,233176325,05/08/2019 05:53:16 AM,05/08/2019 05:55:34 AM,,,,,438c90ab922bfed316103bae9a,3,10,5,8,10,1,,3,,5,2,5,1,3,4,46,7,5,4,2,3,7,2
10715051560,233176325,05/08/2019 05:52:03 AM,05/08/2019 05:54:35 AM,,,,,9defceb657c9249f4fd5e2b960,1,10,8,6,7,,,3,,,3,1,2,5,3,30,6,6,3,1,5,5,1
10715051532,233176325,05/08/2019 05:53:15 AM,05/08/2019 05:54:34 AM,,,,,9da7b209b8d7b06bcee36b10e5,1,2,4,4,3,1,,,,,8,7,2,7,4,45,5,5,4,1,11,8,2
10715039821,233176325,05/08/2019 05:44:48 AM,05/08/2019 05:47:09 AM,,,,,b1842926f7093440ed66bc7166,1,6,4,7,9,,,,,,5,8,1,10,5,66,6,5,5,2,10,3,1
10715033322,233176325,05/08/2019 05:40:00 AM,05/08/2019 05:42:56 AM,,,,,eb2a1af491f246050fb3afff1a,2,6,6,7,5,,,3,,,2,8,2,3,4,47,7,5,4,1,3,2,1
10715025638,233176325,05/08/2019 05:35:36 AM,05/08/2019 05:38:22 AM,,,,,5fa1ba4dccaafa535b87215d77,2,10,8,7,7,,,,,,2,7,1,6,5,62,5,5,5,2,6,1,2
10715017975,233176282,05/08/2019 05:32:04 AM,05/08/2019 05:33:44 AM,24.147.73.45,,,,,1,6,5,8,7,,2,,,5,4,6,2,4,3,32,5,5,,,,,
10715012944,233176325,05/08/2019 05:28:31 AM,05/08/2019 05:30:53 AM,,,,,d9e57cbc58978ba3bd387d9f59,1,3,3,7,7,,2,3,,,11,6,2,7,3,34,7,5,3,1,6,4,1
10715011343,233176325,05/08/2019 05:27:08 AM,05/08/2019 05:29:56 AM,,,,,6e43908a1de8a832710bc123e3,2,10,10,10,5,,,,,,5,1,1,6,4,59,7,5,4,2,6,5,2
10715008922,233176325,05/08/2019 05:25:27 AM,05/08/2019 05:28:32 AM,,,,,55a4ef70d455e8132f4f7bf9a9,2,10,10,5,5,1,2,,,,4,5,2,3,2,28,5,2,2,1,2,1,1
10715008530,233176325,05/08/2019 05:27:15 AM,05/08/2019 05:28:16 AM,,,,,9ba318006021ece35186d7488f,2,3,3,3,3,,2,,,,6,6,2,6,2,51,5,5,4,1,4,1,1
10715004321,233176325,05/08/2019 05:24:21 AM,05/08/2019 05:25:53 AM,,,,,91d6a0f622cded32e4a3e5ed85,1,4,5,3,2,,,,,5,5,3,1,4,3,37,2,5,3,2,3,3,2
10714994511,233176325,05/08/2019 05:18:15 AM,05/08/2019 05:19:59 AM,,,,,f261b8ba8078e5741cabf430b7,1,6,4,5,4,1,2,3,,5,10,6,2,3,5,56,6,2,5,1,1,1,2
10714989888,233176325,05/08/2019 05:12:41 AM,05/08/2019 05:17:04 AM,,,,,5f39f7875b3a216c56c86a3754,2,6,7,8,3,,,,,5,12,1,1,11,4,57,3,5,4,2,11,3,4
10714985579,233176325,05/08/2019 05:12:42 AM,05/08/2019 05:14:18 AM,,,,,9ce9daf04ef2eee949e78416ee,2,8,7,8,6,,,,,5,2,9,1,4,4,47,4,5,4,2,4,2,1
10714984886,233176325,05/08/2019 05:12:17 AM,05/08/2019 05:13:51 AM,,,,,b74411ad55793fa94dac7a4c77,1,6,3,4,5,,,,,5,4,5,2,4,4,51,4,5,4,1,4,5,1
10714977489,233176325,05/08/2019 05:06:06 AM,05/08/2019 05:09:14 AM,,,,,43a055bb69c0604abd8e450f58,1,10,10,10,10,1,,,,,5,1,2,5,4,49,4,5,4,1,5,4,2
10714975059,233176282,05/08/2019 05:03:56 AM,05/08/2019 05:07:47 AM,24.165.182.250,,,,,1,10,5,7,7,1,,,,,10,10,1,5,4,55,7,5,,,,,
10714971773,233176282,05/08/2019 05:03:30 AM,05/08/2019 05:05:47 AM,198.136.26.47,,,,,2,3,4,5,7,,2,,,,11,8,2,3,3,39,4,2,,,,,
10714965756,233176325,05/08/2019 05:01:18 AM,05/08/2019 05:02:11 AM,,,,,3cf6b5d896dc11147fcaadfcbe,1,6,8,8,9,,,3,,,7,5,3,6,3,49,2,3,4,2,2,5,1
10714962328,233176325,05/08/2019 04:57:31 AM,05/08/2019 04:59:57 AM,,,,,6d5520bf0bb29151867f6d8d22,1,8,7,8,8,,2,3,,5,6,8,2,3,4,46,4,2,4,1,3,9,2
10714959338,233176282,05/08/2019 04:54:43 AM,05/08/2019 04:57:53 AM,122.170.166.123,,,,,1,7,6,4,5,1,2,3,,5,4,7,2,6,4,48,7,2,,,,,
