Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a"".",Age,Gender,Household Income,Region,Device Type
11283857568,252761849,01/18/2020 04:57:09 PM,01/18/2020 04:59:18 PM,71.91.144.93,,,,,,,,2,9,9,9,8,1,2,,,,11,8,2,5,2,23,3,3,AEOFJWOEXF94U,,,,,
11283856727,252761849,01/18/2020 04:56:42 PM,01/18/2020 04:58:18 PM,174.86.203.221,,,,,,,,1,10,3,7,10,,,,,5,4,8,1,6,2,23,6,3,A213AEBX8ZH75U,,,,,
11283856470,252761849,01/18/2020 04:56:53 PM,01/18/2020 04:58:01 PM,50.237.234.7,,,,,,,,2,8,2,1,5,,,3,,5,10,10,1,10,2,21,4,5,A3L7PYC9CCZCLA,,,,,
11283856377,252761849,01/18/2020 04:56:48 PM,01/18/2020 04:57:54 PM,107.3.168.82,,,,,,,,2,1,1,10,10,,,,,,11,1,2,6,2,23,5,5,A2JSI4F867V78O,,,,,
11283855911,252761849,01/18/2020 04:55:18 PM,01/18/2020 04:57:25 PM,24.38.198.65,,,,,,,,1,5,1,4,6,,2,,,,4,8,2,4,3,34,5,5,A154X03NKVZZL1,,,,,
11283854256,252761849,01/18/2020 04:53:10 PM,01/18/2020 04:55:42 PM,65.249.163.113,,,,,,,,1,9,10,9,10,1,,,,,1,9,1,5,2,27,6,5,A2DP6QH1K9DMSC,,,,,
11283854019,252761849,01/18/2020 04:54:15 PM,01/18/2020 04:55:19 PM,73.181.157.141,,,,,,,,2,10,10,10,5,1,2,3,4,5,10,9,1,3,2,26,5,6,AA9SBG7LNCG8Q,,,,,
11283852607,252761849,01/18/2020 04:51:52 PM,01/18/2020 04:53:53 PM,70.180.210.193,,,,,,,,1,8,10,10,10,1,2,3,,5,6,6,1,3,2,24,5,5,AN0JVAS4VR13F,,,,,
11283850820,252761849,01/18/2020 04:50:56 PM,01/18/2020 04:51:45 PM,108.65.124.61,,,,,,,,1,8,5,6,7,,,3,,,11,6,1,11,2,24,5,5,A1WKF2VH7TV0H2,,,,,
11283850793,252761849,01/18/2020 04:50:14 PM,01/18/2020 04:51:43 PM,108.209.173.202,,,,,,,,2,3,7,8,6,1,2,3,,5,6,5,1,4,2,26,4,4,A14I3K8UN3612X,,,,,
11283850256,252761849,01/18/2020 04:49:54 PM,01/18/2020 04:51:07 PM,173.188.66.167,,,,,,,,1,7,8,6,8,1,,3,4,,6,8,2,5,2,24,5,3,A27ZE20JZ3VDUP,,,,,
11283849157,252761849,01/18/2020 04:47:36 PM,01/18/2020 04:49:55 PM,108.55.118.81,,,,,,,,1,7,8,5,4,1,,3,,5,8,4,2,4,2,22,5,5,A3VALDM1L2MH5D,,,,,
11283848981,252761849,01/18/2020 04:48:16 PM,01/18/2020 04:49:42 PM,162.202.52.30,,,,,,,,1,8,5,10,10,,,3,,,11,7,2,2,2,25,4,5,A12S4E3AJF8JSK,,,,,
11283848424,252761849,01/18/2020 04:42:43 PM,01/18/2020 04:49:02 PM,24.21.105.178,,,,,,,,1,3,4,6,8,1,,3,,5,6,9,2,5,4,56,5,5,AYS5D72DT1WNT,,,,,
11283848127,252761849,01/18/2020 04:42:31 PM,01/18/2020 04:48:41 PM,2.56.33.148,,,,,,,,1,7,9,6,8,1,,,,,8,9,2,3,2,29,6,5,n/a,,,,,
11283846753,252761849,01/18/2020 04:25:10 PM,01/18/2020 04:47:04 PM,196.52.2.33,,,,,,,,1,10,9,9,10,1,2,3,4,5,6,9,2,4,2,25,7,5,A3LE1BIVORW3VR,,,,,
11283846674,252761849,01/18/2020 04:44:52 PM,01/18/2020 04:46:58 PM,74.98.212.190,,,,,,,,1,10,10,10,5,,,3,,,2,10,1,4,3,36,7,5,AIHHRINW9IN1I,,,,,
11283846671,252761849,01/18/2020 04:44:20 PM,01/18/2020 04:46:58 PM,208.68.115.27,,,,,,,,2,8,6,8,5,,2,3,,5,2,6,1,7,3,39,4,5,AD31G23YQ5NO5,,,,,
11283846403,252761849,01/18/2020 04:43:25 PM,01/18/2020 04:46:40 PM,63.227.40.93,,,,,,,,1,8,7,9,6,,,,,5,11,10,2,3,4,55,4,5,A397HP5TSIF2LO,,,,,
11283846378,252761849,01/18/2020 04:44:45 PM,01/18/2020 04:46:38 PM,76.105.14.4,,,,,,,,2,4,5,5,5,1,,,,,8,4,2,2,4,54,4,5,A2615YW1YERQBO,,,,,
11283845417,252761849,01/18/2020 04:42:59 PM,01/18/2020 04:45:29 PM,68.83.64.108,,,,,,,,2,10,6,10,3,,,3,,,10,5,1,3,2,24,5,3,A1UU6W7EDFNGSD,,,,,
11283845121,252761849,01/18/2020 04:42:55 PM,01/18/2020 04:45:43 PM,47.33.210.132,,,,,,,,2,6,8,8,7,,,3,,,12,8,1,2,4,57,4,5,A12UOIO3KBRF7M,,,,,
11283844952,252761849,01/18/2020 04:43:25 PM,01/18/2020 04:45:00 PM,71.30.18.78,,,,,,,,1,10,7,8,7,1,2,3,,,2,10,1,4,3,30,7,5,A2YAYHZYI7M3HD,,,,,
11283844486,252761849,01/18/2020 04:43:05 PM,01/18/2020 04:44:28 PM,107.5.37.93,,,,,,,,1,7,5,9,7,,,,,5,8,8,1,2,4,48,4,5,A362CV8OOYJA6W,,,,,
11283844262,252761849,01/18/2020 04:41:01 PM,01/18/2020 04:44:14 PM,67.185.237.215,,,,,,,,1,8,7,10,8,,,3,,,11,7,1,4,2,24,4,5,A4EJNWLWAUTDU,,,,,
11283843790,252761849,01/18/2020 04:42:38 PM,01/18/2020 04:43:38 PM,69.77.229.127,,,,,,,,2,10,8,6,7,,,,,5,6,4,2,3,2,22,4,5,AYG8B3ZK9K6E4,,,,,
11283843545,252761849,01/18/2020 04:41:17 PM,01/18/2020 04:43:22 PM,24.91.180.31,,,,,,,,1,3,8,6,4,,2,3,,,10,1,1,2,3,40,7,5,A24LUXW1DB1QI5,,,,,
11283842648,252761849,01/18/2020 04:39:40 PM,01/18/2020 04:43:28 PM,132.145.210.109,,,,,,,,1,10,9,10,10,1,,,,,2,7,1,3,2,26,3,5,A37AFDQ7UTTTM5,,,,,
11283841785,252761849,01/18/2020 04:39:28 PM,01/18/2020 04:41:19 PM,128.92.135.82,,,,,,,,2,10,6,8,10,1,,3,,5,6,7,2,5,2,27,5,2,AWWZE09IIKCTD,,,,,
11283840790,252761849,01/18/2020 04:38:29 PM,01/18/2020 04:40:09 PM,75.181.91.125,,,,,,,,1,6,2,2,8,,2,,4,5,6,3,2,7,2,25,5,5,A2EQOFJNKS7RCN,,,,,
11283839880,252761849,01/18/2020 04:35:59 PM,01/18/2020 04:39:05 PM,99.196.48.7,,,,,,,,3,10,10,10,2,1,,,,,10,4,1,2,2,21,3,5,A1EFQGRCW78XW0,,,,,
11283839277,252761849,01/18/2020 04:36:19 PM,01/18/2020 04:38:24 PM,47.218.255.65,,,,,,,,2,10,10,5,5,1,2,3,,,5,6,1,6,2,24,5,3,A2YL0CS9EKHLCN,,,,,
11283837410,252761849,01/18/2020 04:34:01 PM,01/18/2020 04:36:19 PM,71.80.196.120,,,,,,,,1,7,8,7,6,1,2,3,,,12,3,2,3,3,31,5,3,A3QSFE6GKO157S,,,,,
11283836681,252761849,01/18/2020 04:34:09 PM,01/18/2020 04:35:32 PM,67.245.112.210,,,,,,,,2,3,6,7,6,,2,3,,5,8,9,1,4,3,43,5,5,A1CE2XPYCDRHVZ,,,,,
11283836552,252761849,01/18/2020 04:34:04 PM,01/18/2020 04:35:39 PM,69.174.156.201,,,,,,,,3,10,10,7,1,,,,,,10,6,1,4,3,35,3,5,A2YUCJ28XANFOX,,,,,
11283835213,252761849,01/18/2020 04:32:27 PM,01/18/2020 04:33:57 PM,76.178.133.171,,,,,,,,1,3,3,7,6,1,2,,,5,5,7,2,2,2,26,7,5,A18MH7KAM9NBB0,,,,,
11283834267,252761849,01/18/2020 04:31:01 PM,01/18/2020 04:33:10 PM,24.3.249.214,,,,,,,,2,10,10,10,5,,,,,5,5,7,1,4,2,24,4,5,A25TOEZW3SJ7A4,,,,,
11283834076,252761849,01/18/2020 04:32:09 PM,01/18/2020 04:32:56 PM,71.230.120.244,,,,,,,,2,6,6,6,6,1,,,,,1,5,2,3,2,25,6,2,A1VR49TB3Q4BV8,,,,,
11283832701,252761849,01/18/2020 04:30:14 PM,01/18/2020 04:31:20 PM,98.208.50.230,,,,,,,,1,5,6,8,5,,,,,,11,5,1,4,2,29,4,5,A1ODA3Q5H6HTDQ,,,,,
11283832696,252761849,01/18/2020 04:30:34 PM,01/18/2020 04:31:19 PM,162.234.202.196,,,,,,,,1,8,9,7,8,,2,,,,10,6,2,4,3,33,5,6,A3D70ANCSMGX5F,,,,,
11283831451,252761849,01/18/2020 04:28:27 PM,01/18/2020 04:29:54 PM,99.135.45.101,,,,,,,,3,5,7,8,4,1,2,3,,,10,10,1,4,2,23,5,4,A15XIKX3PI7SLK,,,,,
11283828935,252761849,01/18/2020 03:57:58 PM,01/18/2020 04:27:02 PM,173.66.175.190,,,,,,,,1,10,10,10,10,1,2,3,,5,6,8,2,8,3,31,5,5,A3C0NQ2IP5FTZQ,,,,,
11283828865,252761849,01/18/2020 04:25:24 PM,01/18/2020 04:26:57 PM,71.163.100.171,,,,,,,,3,6,5,5,6,,,,,,6,5,2,3,2,19,4,2,A2NS3EEEGWPWQE,,,,,
11283828723,252761849,01/18/2020 04:24:12 PM,01/18/2020 04:26:48 PM,35.138.76.64,,,,,,,,2,4,4,9,9,,,,,,5,7,2,2,4,51,7,5,A3QLGMZOLGMBQ1,,,,,
11283827887,252761849,01/18/2020 04:23:08 PM,01/18/2020 04:25:53 PM,71.195.152.153,,,,,,,,2,8,8,6,5,,2,,,,6,8,1,4,2,29,5,2,A2EMVL9KAQZ54T,,,,,
11283826591,252761849,01/18/2020 04:23:12 PM,01/18/2020 04:24:22 PM,96.69.66.85,,,,,,,,3,2,6,9,3,,2,3,,,10,2,1,3,2,26,5,5,A383WPMTMRQEA0,,,,,
11283826395,252761849,01/18/2020 04:23:25 PM,01/18/2020 04:24:09 PM,47.156.90.116,,,,,,,,2,6,5,5,6,,2,,,,6,5,2,5,2,23,5,5,A1PUHCEBSOWETV,,,,,
11283826265,252761849,01/18/2020 04:22:20 PM,01/18/2020 04:24:02 PM,67.149.251.145,,,,,,,,2,3,5,10,8,,2,,,,10,6,1,2,4,46,4,5,AFU00NU09CFXE,,,,,
11283826247,252761849,01/18/2020 04:22:58 PM,01/18/2020 04:24:00 PM,72.188.213.212,,,,,,,,1,8,5,7,6,,,,4,5,11,7,1,3,2,20,4,4,AJPIWEJFRP8K7,,,,,
11283825348,252761849,01/18/2020 04:17:08 PM,01/18/2020 04:22:59 PM,24.183.46.28,,,,,,,,2,7,8,7,8,1,2,3,,5,3,6,1,3,2,24,4,5,A10Q4U3BRHXXPP,,,,,
11283825161,252761849,01/18/2020 04:21:27 PM,01/18/2020 04:22:46 PM,71.236.67.104,,,,,,,,1,7,7,6,6,1,,,,5,8,6,2,3,3,42,4,5,A23BWWRR7J5XLS,,,,,
11283824975,252761849,01/18/2020 04:21:21 PM,01/18/2020 04:22:34 PM,47.206.91.235,,,,,,,,2,8,8,9,9,1,2,3,,,6,4,2,4,2,25,5,5,A3IS28VQS5T5DE,,,,,
11283822572,252761849,01/18/2020 04:18:27 PM,01/18/2020 04:19:59 PM,45.24.32.236,,,,,,,,2,7,8,8,8,,,3,,,10,8,1,4,2,25,5,2,A2AOQZQRVECDAD,,,,,
11283822033,252761849,01/18/2020 04:15:31 PM,01/18/2020 04:19:13 PM,174.21.152.48,,,,,,,,1,5,4,7,9,1,2,3,,,6,7,1,2,2,23,4,3,A8RDXT4ZILHQT,,,,,
11283821091,252761849,01/18/2020 04:16:23 PM,01/18/2020 04:18:10 PM,108.211.159.34,,,,,,,,2,10,7,10,9,,2,3,,5,6,7,2,6,2,26,5,3,AU2RMH9IZP60M,,,,,
11283821054,252761849,01/18/2020 04:15:57 PM,01/18/2020 04:18:08 PM,184.91.134.106,,,,,,,,2,9,10,6,6,,2,,,5,6,5,2,2,1,34,5,5,A38QGJJOZANQ4B,,,,,
11283820711,252761849,01/18/2020 04:15:44 PM,01/18/2020 04:17:44 PM,174.255.136.49,,,,,,,,2,6,6,4,4,,2,3,,,11,3,2,4,3,34,5,5,A38NFX88VZDMJ3,,,,,
11283820600,252761849,01/18/2020 04:16:00 PM,01/18/2020 04:17:37 PM,160.3.43.65,,,,,,,,2,10,9,8,6,,,,,5,6,5,1,3,3,31,4,5,A3UPZ88FI1EJC,,,,,
11283820303,252761849,01/18/2020 04:15:27 PM,01/18/2020 04:17:17 PM,73.31.171.69,,,,,,,,2,6,9,9,9,1,,,,,6,5,2,5,2,27,4,5,A21GOIDMTJIIE1,,,,,
11283820275,252761849,01/18/2020 04:15:03 PM,01/18/2020 04:17:16 PM,184.89.168.76,,,,,,,,2,2,2,9,9,,,,,5,11,2,2,2,2,19,2,5,A1FAK4VQ6WQUDC,,,,,
11283820234,252761849,01/18/2020 04:13:35 PM,01/18/2020 04:17:13 PM,71.222.44.72,,,,,,,,2,7,8,10,4,1,2,3,,5,10,1,3,1,3,31,5,6,A209V2VHLLQ59W,,,,,
11283820097,252761849,01/18/2020 04:15:49 PM,01/18/2020 04:17:04 PM,47.149.21.163,,,,,,,,2,7,9,9,8,,2,,,,6,7,2,4,3,36,4,2,A1EITLFAMKA61U,,,,,
11283819340,252761849,01/18/2020 04:12:28 PM,01/18/2020 04:16:45 PM,209.95.171.61,,,,,,,,3,9,10,9,9,,2,,,,1,9,1,4,2,25,5,5,A357QDJX7IJDPB,,,,,
11283819078,252761849,01/18/2020 04:14:24 PM,01/18/2020 04:15:53 PM,74.134.75.252,,,,,,,,3,7,5,6,7,,2,3,,,10,7,1,3,3,38,4,5,A3U21PUMQ6NGT2,,,,,
11283818899,252761849,01/18/2020 04:11:57 PM,01/18/2020 04:15:39 PM,98.171.76.49,,,,,,,,2,8,8,10,7,1,2,,,,4,7,1,3,2,24,8,6,A2JCSB7V54XDHT,,,,,
11283818306,252761849,01/18/2020 04:13:28 PM,01/18/2020 04:14:59 PM,96.44.19.199,,,,,,,,2,6,6,7,7,,,,,5,10,5,1,11,2,21,5,5,A3BBO5WMQDETB,,,,,
11283818176,252761849,01/18/2020 04:12:58 PM,01/18/2020 04:14:50 PM,75.130.111.138,,,,,,,,2,9,8,8,8,,,,,5,10,7,1,4,3,37,4,5,A2T007HZK66WM,,,,,
11283816914,252761849,01/18/2020 04:12:50 PM,01/18/2020 04:13:30 PM,67.243.175.36,,,,,,,,1,7,8,8,7,1,2,3,,,2,8,2,5,2,22,5,2,AS7D4MNIH56ND,,,,,
11283816135,252761849,01/18/2020 04:05:15 PM,01/18/2020 04:12:40 PM,205.185.193.49,,,,,,,,1,10,6,6,6,,2,3,4,,5,6,2,6,2,25,8,3,A12XUMVMCGOMOR,,,,,
11283815799,252761849,01/18/2020 04:10:47 PM,01/18/2020 04:12:19 PM,68.101.131.131,,,,,,,,1,7,7,5,5,1,2,3,,,11,5,2,3,2,25,4,2,A2VK51X6O3GJYM,,,,,
11283815749,252761849,01/18/2020 04:08:54 PM,01/18/2020 04:12:16 PM,71.136.150.232,,,,,,,,3,8,10,5,5,,,,,5,5,8,1,2,5,69,5,5,A37OUZOGQKGMW0,,,,,
11283815494,252761849,01/18/2020 04:10:38 PM,01/18/2020 04:12:00 PM,75.118.79.54,,,,,,,,2,8,10,6,4,,2,3,4,5,10,4,2,3,3,33,4,6,AL8KOIH1DJ7D9,,,,,
11283815424,252761849,01/18/2020 04:08:46 PM,01/18/2020 04:11:56 PM,73.45.204.94,,,,,,,,1,6,7,8,7,1,,,,,5,7,2,6,2,25,6,5,A2WLYZ61QLTN9H,,,,,
11283814632,252761849,01/18/2020 04:09:34 PM,01/18/2020 04:11:04 PM,71.127.176.37,,,,,,,,3,5,4,3,3,,,,,,5,2,1,2,2,24,6,5,A3RFCSZW6JZDPF,,,,,
11283814206,252761849,01/18/2020 03:45:17 PM,01/18/2020 04:10:37 PM,131.106.65.76,,,,,,,,2,8,7,7,8,,2,3,,,6,8,2,4,3,39,5,5,A183WYXN12P2TJ,,,,,
11283812840,252761849,01/18/2020 04:07:04 PM,01/18/2020 04:09:07 PM,108.94.130.166,,,,,,,,2,7,6,8,7,1,2,3,,,10,5,1,4,4,47,4,5,A333STM8M95GJX,,,,,
11283812124,252761849,01/18/2020 04:07:03 PM,01/18/2020 04:08:22 PM,107.146.146.133,,,,,,,,3,3,5,5,4,,,3,,,5,8,2,3,2,27,6,5,AXI6SO2CBLY9J,,,,,
11283812058,252761849,01/18/2020 04:07:25 PM,01/18/2020 04:08:17 PM,73.255.138.151,,,,,,,,1,8,7,9,6,,,3,,5,11,4,2,3,2,25,4,5,AKNLD4GWEGW4U,,,,,
11283811681,252761849,01/18/2020 04:06:26 PM,01/18/2020 04:07:52 PM,24.88.233.91,,,,,,,,1,6,6,6,10,1,2,3,,5,6,8,2,5,4,45,4,3,AV5FCKI1TTSKR,,,,,
11283811452,252761849,01/18/2020 04:06:19 PM,01/18/2020 04:07:36 PM,131.247.226.30,,,,,,,,2,8,7,9,7,,,3,,5,2,5,2,3,2,21,4,4,A2N9BXKWPITBRA,,,,,
11283811046,252761849,01/18/2020 04:05:53 PM,01/18/2020 04:07:09 PM,216.96.183.213,,,,,,,,2,7,5,7,7,,2,3,,5,10,8,1,1,2,21,5,5,A2SNZOY3RDSJ9A,,,,,
11283810948,252761849,01/18/2020 04:05:23 PM,01/18/2020 04:07:25 PM,108.66.80.16,,,,,,,,2,8,7,10,10,1,2,,,,11,6,1,2,4,56,4,3,A342YLIMT6THWO,,,,,
11283810918,252761849,01/18/2020 04:03:49 PM,01/18/2020 04:07:02 PM,162.204.57.19,,,,,,,,2,6,8,7,8,1,2,,,,11,7,2,3,5,72,3,5,A1SP3GBRZKMWZJ,,,,,
11283809795,252761849,01/18/2020 04:03:57 PM,01/18/2020 04:05:49 PM,174.54.17.241,,,,,,,,2,9,10,4,1,1,,,,,2,4,1,5,2,26,5,5,A3QF91GZZA9IJ1,,,,,
11283809198,252761849,01/18/2020 04:03:50 PM,01/18/2020 04:05:09 PM,73.33.74.127,,,,,,,,1,10,10,10,10,1,2,3,4,5,6,10,2,4,3,37,5,2,A3BHRFFG75X3GO,,,,,
11283808841,252761849,01/18/2020 04:01:40 PM,01/18/2020 04:04:46 PM,23.125.44.89,,,,,,,,2,9,9,8,8,,,,,5,10,9,1,4,3,43,3,5,A1BVG13MHBM1YD,,,,,
11283808840,252761849,01/18/2020 04:03:14 PM,01/18/2020 04:04:46 PM,35.138.250.176,,,,,,,,2,6,3,6,5,,,,,,10,10,2,2,2,29,5,5,AUFUUD4WG9CVO,,,,,
11283808648,252761849,01/18/2020 04:02:53 PM,01/18/2020 04:04:34 PM,47.208.114.47,,,,,,,,2,3,2,7,3,,,3,,,2,10,3,2,3,39,7,5,AIQ1I6ODSIO56,,,,,
11283808281,252761849,01/18/2020 04:02:31 PM,01/18/2020 04:04:11 PM,144.174.210.70,,,,,,,,2,9,5,10,5,1,,,,5,11,10,1,3,2,23,5,4,A3H1CWTHL18474,,,,,
11283808258,252761849,01/18/2020 04:02:32 PM,01/18/2020 04:04:10 PM,104.33.98.211,,,,,,,,1,7,7,8,5,1,,3,,,8,10,2,5,3,30,5,4,A1A46CKE3F5JAJ,,,,,
11283808245,252761849,01/18/2020 04:02:33 PM,01/18/2020 04:04:09 PM,98.220.196.13,,,,,,,,2,10,5,10,10,,2,3,,,8,1,2,7,2,25,5,5,AD14EQ9O9JKRI,,,,,
11283807793,252761849,01/18/2020 04:01:54 PM,01/18/2020 04:03:43 PM,47.132.86.20,,,,,,,,2,8,4,8,5,,2,3,,,5,6,1,4,2,22,6,5,A1KLM658JA6W3V,,,,,
11283807460,252761849,01/18/2020 04:02:04 PM,01/18/2020 04:03:22 PM,65.34.68.4,,,,,,,,2,8,6,7,7,1,,3,,,10,6,2,3,2,25,3,4,A2VD64S66EUC9B,,,,,
11283807429,252761849,01/18/2020 04:01:38 PM,01/18/2020 04:03:20 PM,69.250.205.52,,,,,,,,2,5,3,7,4,,,,,,4,6,1,2,2,24,5,2,A3N7NZV1Z06OKX,,,,,
11283806873,252761849,01/18/2020 04:00:54 PM,01/18/2020 04:02:43 PM,135.84.220.60,,,,,,,,3,7,3,9,10,,,,,,10,8,2,4,2,27,4,5,A1WY3YGT618GC0,,,,,
11283806035,252761849,01/18/2020 03:59:47 PM,01/18/2020 04:01:50 PM,173.22.23.45,,,,,,,,2,10,4,7,6,1,,3,,,2,9,2,2,2,25,4,5,A24LB89P1BPKKF,,,,,
11283805076,252761849,01/18/2020 03:59:04 PM,01/18/2020 04:00:47 PM,100.10.88.136,,,,,,,,1,6,6,8,8,1,2,3,,,6,5,2,3,2,25,5,4,A3NKZMF7M4X0ZP,,,,,
11283804619,252761849,01/18/2020 03:56:54 PM,01/18/2020 04:00:12 PM,73.1.141.162,,,,,,,,3,7,7,8,9,,,,,5,5,8,1,3,5,68,3,5,AOOLS8280CL0Z,,,,,
11283804159,252761849,01/18/2020 03:57:55 PM,01/18/2020 03:59:42 PM,76.30.105.32,,,,,,,,2,9,10,9,8,1,,3,,,6,6,1,4,3,31,4,5,A3FT3XPTOWHJMY,,,,,
11283803934,252761849,01/18/2020 03:56:35 PM,01/18/2020 03:59:25 PM,24.169.19.0,,,,,,,,1,6,6,10,2,1,,3,,5,6,10,3,3,3,23,5,5,A3KC385CZNYEG5,,,,,
11283803903,252761849,01/18/2020 03:56:53 PM,01/18/2020 03:59:23 PM,70.162.65.201,,,,,,,,2,5,4,6,7,1,,,,,6,8,2,5,3,36,5,5,A36KZTLVQWGRYW,,,,,
11283803183,252761849,01/18/2020 03:56:34 PM,01/18/2020 03:58:35 PM,108.197.126.101,,,,,,,,2,7,9,7,7,,2,,,5,1,7,2,2,2,27,5,4,A3ESBL8J4RUANK,,,,,
11283803118,252761849,01/18/2020 03:57:39 PM,01/18/2020 03:58:31 PM,184.88.54.11,,,,,,,,2,7,7,7,7,1,2,3,,5,6,9,2,11,2,25,4,3,A39YWO5O88IAIC,,,,,
11283803040,252761849,01/18/2020 03:57:10 PM,01/18/2020 03:58:27 PM,74.194.122.201,,,,,,,,2,9,9,9,9,,2,3,,5,6,1,2,2,2,25,3,5,A25CFVQND4A0EV,,,,,
